desc,sql,tag,dialect
"Calculate Monthly Recurring Revenue (MRR)","SELECT sum(amount) FROM subscriptions WHERE status = 'active'","Finance","Postgres"
"Find users who churned last month","SELECT user_id FROM cancellations WHERE date >= DATEADD(month, -1, CURRENT_DATE())","Growth","Snowflake"
"List all active server instances","SELECT instance_id, status FROM infra_logs WHERE status = 'RUNNING'","DevOps","Postgres"
"Total sales by region Q3","SELECT region, sum(sales) FROM orders WHERE quarter = 'Q3' GROUP BY region","Sales","Postgres"
"Identify high value customers (>10k spend)","SELECT user_id, sum(spend) as total FROM transactions GROUP BY user_id HAVING total > 10000","Sales","Snowflake"
"Show top 10 users by lifetime value","SELECT user_id, sum(value) as ltv FROM user_stats GROUP BY user_id ORDER BY ltv DESC LIMIT 10","Growth","Postgres"
"Count errors by error code in last 24h","SELECT error_code, count(*) FROM logs WHERE timestamp > NOW() - INTERVAL '24 hours' GROUP BY error_code","DevOps","Postgres"
"Average basket size per country","SELECT country, avg(total_amt) FROM orders JOIN users ON orders.user_id = users.id GROUP BY country","Sales","Snowflake"
"List employees who joined in 2024","SELECT name, join_date FROM employees WHERE extract(year from join_date) = 2024","HR","Postgres"
"Calculate gross margin percent","SELECT (sum(revenue) - sum(cogs)) / sum(revenue) * 100 as margin_pct FROM financials","Finance","Snowflake"
"Find duplicate email addresses","SELECT email, count(*) FROM users GROUP BY email HAVING count(*) > 1","Data Quality","Postgres"
"Update user status to inactive","UPDATE users SET status = 'inactive' WHERE last_login < DATEADD(year, -1, CURRENT_DATE())","Admin","Snowflake"
"Delete temporary tables older than 7 days","DROP TABLE IF EXISTS temp_analytics_% WHERE created_at < NOW() - INTERVAL '7 days'","DevOps","Postgres"
"Revenue by marketing channel","SELECT channel, sum(revenue) FROM attribution_table GROUP BY channel","Marketing","Snowflake"
"List products with zero sales","SELECT p.name FROM products p LEFT JOIN order_items oi ON p.id = oi.product_id WHERE oi.id IS NULL","Sales","Postgres"
