desc,sql,tag,dialect
Calculate average event_id in events,SELECT avg(event_id) FROM events WHERE created_at >= NOW() - INTERVAL '30 days',Engineering,BigQuery
List inactive users (no activity 90 days),SELECT * FROM users WHERE last_active < CURRENT_DATE - 90,Finance,Postgres
Count total orders by status,"SELECT status, count(*) FROM orders GROUP BY status ORDER BY 2 DESC",Engineering,BigQuery
List inactive events (no activity 90 days),SELECT * FROM events WHERE last_active < CURRENT_DATE - 90,Sales,Postgres
Monthly trend of id for orders,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM orders GROUP BY 1 ORDER BY 1",Sales,Postgres
Monthly trend of id for users,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM users GROUP BY 1 ORDER BY 1",Finance,BigQuery
List inactive logs (no activity 90 days),SELECT * FROM logs WHERE last_active < CURRENT_DATE - 90,Sales,BigQuery
Find subscriptions with mrr greater than 731,SELECT * FROM subscriptions WHERE mrr > 81 LIMIT 100,Finance,BigQuery
Find orders with id greater than 897,SELECT * FROM orders WHERE id > 113 LIMIT 100,Marketing,Snowflake
Find logs with timestamp greater than 373,SELECT * FROM logs WHERE timestamp > 224 LIMIT 100,Support,Snowflake
Calculate average timestamp in events,SELECT avg(timestamp) FROM events WHERE created_at >= NOW() - INTERVAL '30 days',Engineering,Postgres
Monthly trend of id for logs,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM logs GROUP BY 1 ORDER BY 1",Finance,Postgres
Find users with country greater than 77,SELECT * FROM users WHERE country > 226 LIMIT 100,Product,BigQuery
Count total products by stock_level,"SELECT stock_level, count(*) FROM products GROUP BY stock_level ORDER BY 2 DESC",Support,Snowflake
Find orders with user_id greater than 772,SELECT * FROM orders WHERE user_id > 584 LIMIT 100,Product,Snowflake
List inactive events (no activity 90 days),SELECT * FROM events WHERE last_active < CURRENT_DATE - 90,Engineering,Postgres
Monthly trend of id for subscriptions,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM subscriptions GROUP BY 1 ORDER BY 1",Engineering,BigQuery
List inactive logs (no activity 90 days),SELECT * FROM logs WHERE last_active < CURRENT_DATE - 90,Marketing,BigQuery
List inactive products (no activity 90 days),SELECT * FROM products WHERE last_active < CURRENT_DATE - 90,Product,Snowflake
Find events with event_id greater than 455,SELECT * FROM events WHERE event_id > 171 LIMIT 100,Marketing,Postgres
Find events with timestamp greater than 529,SELECT * FROM events WHERE timestamp > 944 LIMIT 100,Finance,BigQuery
List inactive products (no activity 90 days),SELECT * FROM products WHERE last_active < CURRENT_DATE - 90,Engineering,BigQuery
Calculate average mrr in subscriptions,SELECT avg(mrr) FROM subscriptions WHERE created_at >= NOW() - INTERVAL '30 days',Sales,Snowflake
Calculate average id in orders,SELECT avg(id) FROM orders WHERE created_at >= NOW() - INTERVAL '30 days',Marketing,Postgres
Count total subscriptions by start_date,"SELECT start_date, count(*) FROM subscriptions GROUP BY start_date ORDER BY 2 DESC",Engineering,Snowflake
List inactive subscriptions (no activity 90 days),SELECT * FROM subscriptions WHERE last_active < CURRENT_DATE - 90,Support,BigQuery
Find orders with created_at greater than 458,SELECT * FROM orders WHERE created_at > 931 LIMIT 100,Product,Snowflake
Count total users by id,"SELECT id, count(*) FROM users GROUP BY id ORDER BY 2 DESC",Product,BigQuery
